city,temperature,humidity,pressure,visibility,cloudiness,wind_speed,description,date
London,10.88,66,1013,10000,40,4.12,scattered clouds,2025-02-25 13:29:47.351740
New York,6.36,56,1011,10000,0,3.6,clear sky,2025-02-25 13:29:47.452917
Tokyo,8.81,49,1020,10000,75,9.26,broken clouds,2025-02-25 13:29:47.545275
Sydney,21.39,76,1024,10000,100,0.45,overcast clouds,2025-02-25 13:29:47.636453
Paris,9.24,96,1009,7000,75,4.63,moderate rain,2025-02-25 13:29:47.731042
Berlin,12.77,75,1014,10000,40,3.13,scattered clouds,2025-02-25 13:29:47.824275
Moscow,0.24,60,1024,10000,5,1.05,clear sky,2025-02-25 13:29:47.925256
Beijing,-2.06,16,1027,10000,0,3.13,clear sky,2025-02-25 13:29:48.016699
Delhi,24.05,38,1017,4000,40,1.54,haze,2025-02-25 13:29:48.109158
Bangkok,25.05,73,1017,10000,100,4.94,overcast clouds,2025-02-25 13:29:48.198093
Dubai,21.96,49,1017,10000,0,8.75,clear sky,2025-02-25 13:29:48.288206
Istanbul,5.68,61,1025,10000,75,4.63,broken clouds,2025-02-25 13:29:48.381227
Cairo,15.42,41,1021,10000,40,6.69,scattered clouds,2025-02-25 13:29:48.474899
Lagos,36.5,37,1008,10000,100,4.39,overcast clouds,2025-02-25 13:29:48.567318
Johannesburg,29.02,45,1006,10000,92,0.89,overcast clouds,2025-02-25 13:29:48.659437
Buenos Aires,24.2,81,1013,9000,100,3.58,overcast clouds,2025-02-25 13:29:48.752551
São Paulo,27.92,56,1019,10000,0,4.12,clear sky,2025-02-25 13:29:48.848248
Mexico City,11.73,54,1018,10000,0,3.6,clear sky,2025-02-25 13:29:48.940236
Los Angeles,12.21,91,1015,805,100,3.09,fog,2025-02-25 13:29:49.031623
Chicago,3.61,91,1009,10000,20,1.54,few clouds,2025-02-25 13:29:49.121396
Toronto,2.6,88,1006,10000,75,1.03,broken clouds,2025-02-25 13:29:49.209800
Vancouver,6.87,91,1002,10000,100,11.83,heavy intensity rain,2025-02-25 13:29:49.300165
Miami,19.48,92,1008,10000,40,1.54,scattered clouds,2025-02-25 13:29:49.391376
San Francisco,9.13,92,1024,10000,40,2.06,fog,2025-02-25 13:29:49.481902
Washington D.C.,6.01,70,1011,10000,40,1.54,scattered clouds,2025-02-25 13:29:49.573880
Houston,9.94,95,1017,402,100,2.06,fog,2025-02-25 13:29:49.664216
Atlanta,8.25,83,1015,10000,20,1.54,few clouds,2025-02-25 13:29:49.757353
Boston,4.48,76,1011,10000,100,2.57,overcast clouds,2025-02-25 13:29:49.847972
Seattle,7.46,90,1005,9656,100,12.35,mist,2025-02-25 13:29:49.936711
Dallas,8.32,92,1016,10000,0,3.6,clear sky,2025-02-25 13:29:50.026107
Philadelphia,5.63,67,1011,10000,75,1.54,broken clouds,2025-02-25 13:29:50.131320
Phoenix,14.33,24,1013,10000,0,2.57,clear sky,2025-02-25 13:29:50.223614
San Diego,11.94,87,1014,3219,40,2.06,mist,2025-02-25 13:29:50.314363
Denver,5.89,44,1015,10000,42,0.45,scattered clouds,2025-02-25 13:29:50.410403
Montreal,3.4,78,1007,10000,100,3.6,overcast clouds,2025-02-25 13:29:50.505324
Madrid,12.9,62,1023,10000,75,6.17,broken clouds,2025-02-25 13:29:50.600352
Rome,9.58,80,1015,10000,0,0.45,clear sky,2025-02-25 13:29:50.703935
Vienna,6.2,98,1017,800,100,3.09,light intensity drizzle,2025-02-25 13:29:50.796245
Zurich,9.51,87,1014,10000,75,1.03,moderate rain,2025-02-25 13:29:50.890864
Amsterdam,10.72,70,1012,10000,40,2.57,scattered clouds,2025-02-25 13:29:50.985736
Brussels,12.15,73,1011,10000,20,1.03,few clouds,2025-02-25 13:29:51.074716
Copenhagen,7.42,92,1013,10000,100,3.09,overcast clouds,2025-02-25 13:29:51.168556
Oslo,4.58,91,1007,10000,84,1.57,broken clouds,2025-02-25 13:29:51.264843
Stockholm,5.66,95,1010,5000,75,2.06,broken clouds,2025-02-25 13:29:51.353272
Helsinki,1.71,74,1016,10000,75,4.12,broken clouds,2025-02-25 13:29:51.449250
Warsaw,9.46,70,1018,10000,20,2.06,few clouds,2025-02-25 13:29:51.538933
Prague,11.28,67,1015,10000,75,2.57,broken clouds,2025-02-25 13:29:51.627629
Budapest,9.41,67,1021,8000,20,1.54,few clouds,2025-02-25 13:29:51.717597
